# file_num first_value mean stddev num_values filename
1 89.56 101.186 4.09638670049594 10 "stats-reverse/results.mail.log-20070126"
2 73.15 73.341 0.792255640560546 10 "stats-reverse/results.mail.log-20070127"
3 56.83 53.472 1.81397243639478 10 "stats-reverse/results.mail.log-20070128"
4 94.22 96.412 1.75077582802596 10 "stats-reverse/results.mail.log-20070129"
5 95.01 95.341 1.46353305394856 10 "stats-reverse/results.mail.log-20070130"
6 108.92 108.361 1.41361557716375 10 "stats-reverse/results.mail.log-20070131"
7 121.64 120.373 3.38618088707618 10 "stats-reverse/results.mail.log-20070201"
8 93.61 91.523 1.16146502314964 10 "stats-reverse/results.mail.log-20070202"
9 71.14 67.707 1.28108586753582 10 "stats-reverse/results.mail.log-20070203"
10 72.67 72.783 0.807180896701601 10 "stats-reverse/results.mail.log-20070204"
11 90.33 87.382 1.52213534220844 10 "stats-reverse/results.mail.log-20070205"
12 92.79 91.938 1.33018645309596 10 "stats-reverse/results.mail.log-20070206"
13 93.49 92.475 0.942966065137024 10 "stats-reverse/results.mail.log-20070207"
14 86.17 87.157 0.746458974090339 10 "stats-reverse/results.mail.log-20070208"
15 74.6 75.449 1.27934709910954 10 "stats-reverse/results.mail.log-20070209"
16 97.25 95.554 1.10228127081975 10 "stats-reverse/results.mail.log-20070210"
17 112.6 110.215 1.19356817987076 10 "stats-reverse/results.mail.log-20070211"
18 106.19 106.111 1.56616378453852 10 "stats-reverse/results.mail.log-20070212"
19 86.05 87.163 0.886397766242675 10 "stats-reverse/results.mail.log-20070213"
20 92.75 92.415 0.84385129021647 10 "stats-reverse/results.mail.log-20070214"
21 88.68 87.334 0.888585392632584 10 "stats-reverse/results.mail.log-20070215"
22 382.08 383.598 3.63836446772447 10 "stats-reverse/results.mail.log-20070216"
23 54.46 55.16 0.656414503191391 10 "stats-reverse/results.mail.log-20070217"
24 52.33 53.098 0.92656138490658 10 "stats-reverse/results.mail.log-20070218"
25 78.78 79.473 1.52421159948348 10 "stats-reverse/results.mail.log-20070219"
26 101.39 102.54 1.53402737915592 10 "stats-reverse/results.mail.log-20070220"
27 107.35 106.965 0.846962218755951 10 "stats-reverse/results.mail.log-20070221"
28 128.12 136.308 5.1921494585576 10 "stats-reverse/results.mail.log-20070222"
29 120.21 116.092 4.80222406807512 10 "stats-reverse/results.mail.log-20070223"
30 84.87 83.393 0.752051195065868 10 "stats-reverse/results.mail.log-20070224"
31 63.09 63.584 0.632379632815605 10 "stats-reverse/results.mail.log-20070225"
32 90.93 92.043 1.76548605205479 10 "stats-reverse/results.mail.log-20070226"
33 107.12 107.765 1.37683877051745 10 "stats-reverse/results.mail.log-20070227"
34 91.81 90.001 0.833348066536426 10 "stats-reverse/results.mail.log-20070228"
35 124.2 124.907 1.42701121228952 10 "stats-reverse/results.mail.log-20070301"
36 112.27 110.94 2.6738623749176 10 "stats-reverse/results.mail.log-20070302"
37 53.08 52.477 0.37499466662874 10 "stats-reverse/results.mail.log-20070303"
38 56.48 54.877 0.878499288559757 10 "stats-reverse/results.mail.log-20070304"
39 89.78 91.234 1.24468630586184 10 "stats-reverse/results.mail.log-20070305"
40 83.56 82.648 2.26982730620636 10 "stats-reverse/results.mail.log-20070306"
41 89.61 85.847 2.27070936053032 10 "stats-reverse/results.mail.log-20070307"
42 78.24 77.738 1.39134323586957 10 "stats-reverse/results.mail.log-20070308"
43 78.13 78.64 1.19183052486501 10 "stats-reverse/results.mail.log-20070309"
44 56.14 55.243 0.651859647470221 10 "stats-reverse/results.mail.log-20070310"
45 54.32 53.466 1.202748519018 10 "stats-reverse/results.mail.log-20070311"
46 79.31 75.789 1.45513195277954 10 "stats-reverse/results.mail.log-20070312"
47 73.82 74.562 1.44459544509873 10 "stats-reverse/results.mail.log-20070313"
48 70.69 71.225 1.24716678916655 10 "stats-reverse/results.mail.log-20070314"
49 71.61 73.705 0.975799672063891 10 "stats-reverse/results.mail.log-20070315"
50 77.89 77.191 0.666820065684888 10 "stats-reverse/results.mail.log-20070316"
51 51.31 51.491 0.62929245983088 10 "stats-reverse/results.mail.log-20070317"
52 44.25 42.356 1.04513348429758 10 "stats-reverse/results.mail.log-20070318"
53 66.82 67.467 0.659166898440753 10 "stats-reverse/results.mail.log-20070319"
54 94.76 94.298 1.13845333676879 10 "stats-reverse/results.mail.log-20070320"
55 80.44 81.351 1.80246747543472 10 "stats-reverse/results.mail.log-20070321"
56 82.9 78.763 1.51888149636501 10 "stats-reverse/results.mail.log-20070322"
57 93.98 91.534 1.42944884483496 10 "stats-reverse/results.mail.log-20070323"
58 57.92 57.556 0.650710381045209 10 "stats-reverse/results.mail.log-20070324"
59 43.88 43.91 0.588098631183581 10 "stats-reverse/results.mail.log-20070325"
60 98.29 97.645 1.01442841048543 10 "stats-reverse/results.mail.log-20070326"
61 138.23 139.254 2.14435631367551 10 "stats-reverse/results.mail.log-20070327"
62 565.65 581.42 8.32092783288018 10 "stats-reverse/results.mail.log-20070328"
63 1182.88 1199.553 15.0450337653326 10 "stats-reverse/results.mail.log-20070329"
64 1258.59 1268.559 10.5299937796753 10 "stats-reverse/results.mail.log-20070330"
65 1356.09 1370.792 25.5295882457983 10 "stats-reverse/results.mail.log-20070331"
66 1281.94 1266.879 12.4084829451469 10 "stats-reverse/results.mail.log-20070401"
67 1235.91 1248.012 18.7401946628096 10 "stats-reverse/results.mail.log-20070402"
68 793.28 811.765 13.6158336138483 10 "stats-reverse/results.mail.log-20070403"
69 96.41 95.066 0.710326685406086 10 "stats-reverse/results.mail.log-20070404"
70 103.81 103.974 0.992524055124105 10 "stats-reverse/results.mail.log-20070405"
71 95.75 95.289 1.63704276058996 10 "stats-reverse/results.mail.log-20070406"
72 53.17 52.99 1.22468771529725 10 "stats-reverse/results.mail.log-20070407"
73 49.42 49.556 0.51363800482441 10 "stats-reverse/results.mail.log-20070408"
74 97.36 97.587 0.779154028418001 10 "stats-reverse/results.mail.log-20070409"
75 79.51 78.927 1.15740269569412 10 "stats-reverse/results.mail.log-20070410"
76 79.73 80.343 0.786372049350685 10 "stats-reverse/results.mail.log-20070411"
77 88.46 87.237 1.24160420424546 10 "stats-reverse/results.mail.log-20070412"
78 72.29 69.361 1.11920909574574 10 "stats-reverse/results.mail.log-20070413"
79 46.01 45.556 0.35858611239143 10 "stats-reverse/results.mail.log-20070414"
80 58.69 59.418 1.0835755626628 10 "stats-reverse/results.mail.log-20070415"
81 91.96 92.64 1.40147779147584 10 "stats-reverse/results.mail.log-20070416"
82 100.3 98.295 0.985781415933572 10 "stats-reverse/results.mail.log-20070417"
83 103.76 101.486 0.862962339850352 10 "stats-reverse/results.mail.log-20070418"
84 86.31 84.83 0.99813826697507 10 "stats-reverse/results.mail.log-20070419"
85 73.71 72.394 0.923625465218452 10 "stats-reverse/results.mail.log-20070420"
86 44.11 43.927 0.393193336667854 10 "stats-reverse/results.mail.log-20070421"
87 61.61 62.061 0.949341350621578 10 "stats-reverse/results.mail.log-20070422"
88 78.89 78.288 0.72203601018232 10 "stats-reverse/results.mail.log-20070423"
89 73.57 73.259 0.637470783644237 10 "stats-reverse/results.mail.log-20070424"
90 71.15 70.897 0.684836476832246 10 "stats-reverse/results.mail.log-20070425"
91 72.86 72.52 0.847348806572597 10 "stats-reverse/results.mail.log-20070426"
92 70.84 70.927 0.467783069381525 10 "stats-reverse/results.mail.log-20070427"
93 37.92 37.6 0.357127428238157 10 "stats-reverse/results.mail.log-20070428"
